question,option_a,option_b,option_c,option_d,correct_answer,category
What is the capital of France?,London,Paris,Berlin,Madrid,B,Geography
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,C,Science
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C,Art
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,Geography
In which year did World War II end?,1943,1945,1947,1950,B,History
What is the chemical symbol for gold?,Go,Gd,Au,Ag,C,Science
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,B,Science
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,Literature
What is the speed of light in vacuum (approx)?,"300,000 km/s","150,000 km/s","450,000 km/s","200,000 km/s",A,Science
Which country hosted the 2016 Summer Olympics?,China,United Kingdom,Brazil,Russia,C,Sports
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C,Science
Which programming language is known as the 'language of the web'?,Python,Java,C++,JavaScript,D,Technology
What is the smallest country in the world by area?,Monaco,Vatican City,San Marino,Liechtenstein,B,Geography
Who developed the theory of relativity?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,C,Science
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C,Geography
What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Hippopotamus,B,Nature
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Science
How many continents are there on Earth?,5,6,7,8,C,Geography
What is the boiling point of water in Celsius?,90°C,100°C,110°C,120°C,B,Science
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Albert Einstein,B,History
What is the main ingredient in guacamole?,Tomato,Onion,Avocado,Pepper,C,Food
Which organ is responsible for pumping blood throughout the body?,Lungs,Brain,Liver,Heart,D,Science
What year did the Titanic sink?,1910,1912,1914,1916,B,History
Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,B,Science
What is the tallest mountain in the world?,K2,Kangchenjunga,Mount Everest,Makalu,C,Geography
Who is known as the King of Pop?,Elvis Presley,Michael Jackson,Prince,Whitney Houston,B,Music
What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2,A,Science
Which instrument did Mozart famously play?,Violin,Piano,Flute,Cello,B,Music
Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Benjamin Franklin,B,History
What is the largest desert in the world?,Sahara,Antarctic,Arabian,Gobi,B,Geography
Which band performed 'Bohemian Rhapsody'?,The Beatles,Queen,Led Zeppelin,Pink Floyd,B,Music
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi Apparatus,C,Science
Who painted 'The Starry Night'?,Claude Monet,Vincent van Gogh,Pablo Picasso,Salvador Dali,B,Art
In which year did the Berlin Wall fall?,1987,1989,1991,1993,B,History
What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,C,Science
Which country is known as the Land of the Rising Sun?,China,Japan,Korea,Thailand,B,Geography
Who wrote the novel '1984'?,Aldous Huxley,George Orwell,Ray Bradbury,H.G. Wells,B,Literature
What is the smallest bone in the human body?,Femur,Stapes,Tibia,Humerus,B,Science
Which artist cut off his own ear?,Pablo Picasso,Vincent van Gogh,Claude Monet,Salvador Dali,B,Art
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B,Geography
Who composed the 'Four Seasons'?,Mozart,Beethoven,Vivaldi,Bach,C,Music
What is the chemical symbol for iron?,Ir,In,Fe,Io,C,Science
Which ancient civilization built the pyramids?,Roman,Greek,Egyptian,Mayan,C,History
What is the largest organ in the human body?,Liver,Heart,Brain,Skin,D,Science
